Date,Q_ke,Q_assim_base,Q_assim_Budyko,ET_ke,ET_assim_base,ET_assim_Budyko,S_ke,S_assim_base,S_assim_Budyko,G_ke,G_assim_base,G_assim_Budyko,Qs_ke,Qs_assim_base,Qs_assim_Budyko,Qb_ke,Qb_assim_base,Qb_assim_Budyko,Perc_ke,Perc_assim_base,Perc_assim_Budyko,omega_true,omega_mlr
2008-06-01,81.75937404633052,82.24120292744884,81.95671356385213,30.426007080078122,112.13003540039062,112.13003540039062,0.0,0.0,0.0,0.8670830409489974,7.790822385500733,3.664778315469732,81.7040283203125,81.7040283203125,81.7040283203125,0.0553457260180211,0.5371746071363409,0.25268524353962757,0.0,0.0,0.0,2.6841775512480686,6.057625390553244
2008-07-01,60.61720442581632,61.03262878648942,60.78506614228756,25.141294860839842,85.70647430419922,85.70647430419922,0.0,0.0,0.0,0.8150580584920575,6.779573639862738,3.1890900901217605,60.565179443359376,60.565179443359376,60.565179443359376,0.05202498245693984,0.46744934313004394,0.21988669892818394,0.0,0.0,0.0,4.426239931834677,5.861725127646405
2008-08-01,37.14731351768921,37.50518445257145,37.28975543958699,19.274602508544923,56.37301254272461,56.37301254272461,0.0,0.0,0.0,0.766154574982534,5.8995849814085535,2.7751461964239557,37.098410034179686,37.098410034179686,37.098410034179686,0.04890348350952345,0.40677441839176426,0.19134540540730563,0.0,0.0,0.0,5.959642426641227,5.872599114250477
2008-09-01,43.88544071004583,44.19344653443139,44.005980207332314,20.959867858886717,64.7993392944336,64.7993392944336,0.0,0.0,0.0,0.720185300483582,5.133818850821723,2.4149322201281263,43.839471435546876,43.839471435546876,43.839471435546876,0.04596927449895204,0.3539750988845132,0.16650877178543733,0.0,0.0,0.0,6.707833981998118,6.1393635911513025
2008-10-01,121.58403143052902,121.84884944354931,121.6857162457077,40.385205078125,59.80251202392579,77.67827503403475,0.0,40.023618046997065,27.188820205738807,0.6769741824545671,18.14662992121065,11.394006885250691,121.5408203125,121.5408203125,121.5408203125,0.043211118029014915,0.30802913104930335,0.14489593320768757,0.0,0.0,0.0,3.4921103426624756,6.532779607692341
2008-11-01,0.040618450947274023,30.734678927206232,20.06168327204203,7.033733367919922,28.718340860366826,34.22255357365873,0.0,13.167409578167026,0.0,0.6363557315072931,20.29152452708612,9.91506479154515,0.0,29.645881131933592,19.378042858926985,0.040618450947274023,1.0887977952726389,0.6836404131150414,0.0,0.0,0.0,2.3328884174711066,6.698222748793148
2008-12-01,0.038181343890437584,5.775763959903418,0.594903887492709,2.530431032180786,11.956670909881591,2.530431032180786,0.0,2.6861598449347435,0.0,0.5981743876168555,18.57575421975383,8.62808938160259,0.0,4.55827248827825,0.0,0.038181343890437584,1.2174914716251672,0.594903887492709,0.0,0.0,0.0,2.129356797003893,7.017266246737188
2009-01-01,0.035890463257011326,1.1145452531852298,0.5176853628961554,0.9700022339820862,3.6561620789168296,0.9700022339820862,0.0,0.0,0.0,0.5622839243598442,16.164621322029785,7.508163379870573,0.0,0.0,0.0,0.035890463257011326,1.1145452531852298,0.5176853628961554,0.0,0.0,0.0,2.827267636873476,6.882874876591831
2009-02-01,0.9694914299928408,1.905631673853037,1.3862441973234845,10.233938598632813,11.169692993164062,11.169692993164062,0.0,0.0,0.0,0.5285468888982535,14.066453474430318,6.533603773163373,0.9357543945312501,0.9357543945312501,0.9357543945312501,0.03373703546159065,0.969877279321787,0.4504898027922344,0.0,0.0,0.0,5.085585891593766,6.928292734168799
2009-03-01,0.03171281333389521,0.8439872084658191,0.3920162263898023,9.67238998413086,9.67238998413086,9.67238998413086,0.0,0.0,0.0,0.4968340755643583,12.240627813449262,5.685542003406767,0.0,0.0,0.0,0.03171281333389521,0.8439872084658191,0.3920162263898023,0.0,0.0,0.0,7.537244096283068,6.889623010116719
2009-04-01,43.737176987893235,44.44180461216633,44.04849946356378,20.926841735839844,64.63420867919922,64.63420867919922,0.0,0.0,0.0,0.46702403103049683,10.651794323263548,4.947558651364568,43.707366943359375,43.707366943359375,43.707366943359375,0.029810044533861497,0.7344376688069557,0.34113252020440604,0.0,0.0,0.0,4.373667347389256,6.681579361975992
