date,gauge_id,csr,gfz,jpl,TWA
6/1/2012,5466500,0.402378792,-1.381156466,1.29633411,0.105852145
7/1/2012,5466500,-7.867830656,-10.12121339,-7.247960795,-8.412334948
8/1/2012,5466500,-13.31683213,-13.7820559,-11.73487117,-12.9445864
9/1/2012,5466500,-14.81306631,-13.5720367,-13.46678959,-13.95063087
11/6/2012,5466500,-11.32437561,-11.24040471,-11.46943309,-11.3447378
12/1/2012,5466500,-12.4120952,-11.50690675,-10.20561366,-11.37487187
1/1/2013,5466500,-10.89315915,-10.04046685,-13.4878804,-11.47383547
2/1/2013,5466500,-8.093892433,-7.506103873,-6.997474855,-7.532490387
4/11/2013,5466500,1.773329594,-0.618521685,0.527581839,0.560796583
5/1/2013,5466500,2.758765849,2.405864103,1.317177808,2.160602587
6/1/2013,5466500,4.378607815,3.8915814,6.180243059,4.816810758
7/1/2013,5466500,1.187589873,-0.588633651,1.132768971,0.577241731
10/1/2013,5466500,-7.495489456,-8.857936209,-8.439641367,-8.264355678
11/1/2013,5466500,-3.967007176,-5.141650688,-4.640823592,-4.583160485
12/1/2013,5466500,-3.07362939,-4.464170987,-5.94236919,-4.493389856
1/1/2014,5466500,-3.053511137,-1.334875768,-4.484356989,-2.957581298
3/1/2014,5466500,0.699067433,-1.056897426,-0.696187412,-0.351339135
4/1/2014,5466500,-1.733886434,-1.487372537,-0.612320601,-1.277859857
5/1/2014,5466500,1.13688975,1.659604658,3.576169529,2.124221312
6/1/2014,5466500,4.252812635,2.200397681,3.273528787,3.242246368
8/1/2014,5466500,0.036972178,-1.104765524,-1.727015211,-0.931602852
9/1/2014,5466500,2.52727709,2.534957078,1.331732349,2.131322173
10/1/2014,5466500,1.642324358,1.951005776,0.770894294,1.454741476
11/1/2014,5466500,1.21879201,1.714427609,3.351521411,2.094913677
1/13/2015,5466500,5.485891494,6.457932841,3.658453399,5.200759245
2/1/2015,5466500,9.326271902,9.330502965,5.85259521,8.169790026
3/1/2015,5466500,3.932305119,4.972827836,4.891787291,4.598973415
4/1/2015,5466500,4.362415303,4.209454645,5.505367832,4.692412593
4/12/2015,5466500,4.641252128,4.514604666,3.170874829,4.108910541
6/29/2015,5466500,7.659003052,8.599758603,4.75461535,7.004459002
8/1/2015,5466500,1.648807596,3.082415028,1.56719292,2.099471848
9/1/2015,5466500,-1.988349061,0.319303398,3.838904771,0.723286369
12/11/2015,5466500,9.323672663,9.129369497,6.929281863,8.460774675
1/4/2016,5466500,10.27653378,9.152434392,8.654900919,9.361289696
1/29/2016,5466500,8.926881703,9.986566283,8.375169147,9.096205711
3/1/2016,5466500,10.12104084,9.560656439,9.241148017,9.640948433
5/7/2016,5466500,12.07598587,10.30624145,8.165706049,10.18264445
6/1/2016,5466500,9.633136619,10.2353197,7.72607708,9.1981778
7/1/2016,5466500,4.601579016,3.634256889,3.023218263,3.753018056
8/8/2016,5466500,2.644559026,1.33529468,-0.967331745,1.004173987
11/13/2016,5466500,10.2746885,9.272835666,7.084131794,8.877218655
12/11/2016,5466500,5.80677907,2.335875072,2.293669045,3.478774396
4/1/2002,5487980,4.999352238,3.337197521,2.142148668,3.492899476
5/1/2002,5487980,7.619842139,8.610444936,6.008987687,7.413091587
8/1/2002,5487980,-2.513361432,-2.290777672,-3.966850736,-2.92366328
