Basin,Kperc,Kb,Ke,Cqq,S_init,G_init,Smax,KGE
10234500,0.075,0.326,0.318,0.604,0.35,0.15,0.05,0.364
02361000,0.012,0.949,0.569,0.106,0.35,0.15,0.05,0.363
02013000,0.331,0.99,0.817,0.33,0.35,0.15,0.05,0.361
08070000,0.016,0.882,0.387,0.104,0.35,0.15,0.05,0.361
02011400,0.286,0.96,0.942,0.286,0.35,0.15,0.05,0.36
03049000,0.302,0.989,0.799,0.294,0.35,0.15,0.05,0.356
07196900,0.98,0.763,0.796,0.996,0.35,0.15,0.05,0.356
02051500,0.062,0.994,0.872,0.182,0.35,0.15,0.05,0.355
03281500,0.02,0.993,0.905,0.175,0.35,0.15,0.05,0.354
02014000,0.055,0.995,0.979,0.188,0.35,0.15,0.05,0.354
09223000,0.019,0.981,0.589,0.64,0.35,0.15,0.05,0.353
08070200,0.011,0.944,0.604,0.1,0.35,0.15,0.05,0.352
13083000,0.017,0.873,0.525,0.593,0.35,0.15,0.05,0.351
02017500,0.172,0.975,0.991,0.468,0.35,0.15,0.05,0.351
04043050,0.027,0.434,0.203,0.999,0.35,0.15,0.05,0.351
03173000,0.177,0.992,0.701,0.223,0.35,0.15,0.05,0.351
02016000,0.049,0.939,0.737,0.115,0.35,0.15,0.05,0.347
02018000,0.197,0.998,0.603,0.188,0.35,0.15,0.05,0.347
01634500,0.379,0.989,0.796,0.372,0.35,0.15,0.05,0.346
11274630,0.014,0.772,0.728,0.108,0.35,0.15,0.05,0.344
04105700,0.016,0.965,0.861,0.708,0.35,0.15,0.05,0.343
02065500,0.151,0.999,0.71,0.521,0.35,0.15,0.05,0.343
12414500,0.344,0.783,0.851,0.108,0.35,0.15,0.05,0.34
02350900,0.021,0.998,0.839,0.151,0.35,0.15,0.05,0.339
02059500,0.374,0.994,0.637,0.271,0.35,0.15,0.05,0.338
02422500,0.039,0.996,0.848,0.304,0.35,0.15,0.05,0.338
02082950,0.305,0.998,0.746,0.192,0.35,0.15,0.05,0.337
11176400,0.076,0.775,0.602,0.106,0.35,0.15,0.05,0.336
06876700,0.011,0.319,0.398,0.103,0.35,0.15,0.05,0.336
02143000,0.348,0.994,0.67,0.717,0.35,0.15,0.05,0.335
02128000,0.094,0.99,0.909,0.259,0.35,0.15,0.05,0.33
04256000,0.998,0.257,0.281,0.999,0.35,0.15,0.05,0.328
09430600,0.036,0.866,0.58,0.102,0.35,0.15,0.05,0.327
03187500,0.33,0.951,0.394,0.999,0.35,0.15,0.05,0.32
02472500,0.159,1.0,0.72,0.251,0.35,0.15,0.05,0.316
02118500,0.197,0.993,0.802,0.333,0.35,0.15,0.05,0.309
04185000,0.068,0.998,0.526,0.327,0.35,0.15,0.05,0.309
08066300,0.051,0.995,0.634,0.226,0.35,0.15,0.05,0.306
01580000,0.474,0.984,0.709,0.444,0.35,0.15,0.05,0.306
06632400,0.989,0.987,0.317,0.997,0.35,0.15,0.05,0.304
03237500,0.021,0.993,0.936,0.126,0.35,0.15,0.05,0.303
13337000,0.617,0.893,0.896,0.119,0.35,0.15,0.05,0.301
01487000,0.185,0.998,0.775,0.257,0.35,0.15,0.05,0.299
10329500,0.249,0.884,0.342,0.193,0.35,0.15,0.05,0.298
02081500,0.016,0.964,0.097,0.234,0.35,0.15,0.05,0.294
