like1,parKperc,parKb,parKe,parCqq,parBias,parS_init,parG_init,chain
5.688,0.1748,0.4094,0.775,0.9995,0.3828,1714.0,1441.0,0.0
10000.0,0.333,0.2532,0.2588,0.9995,-0.11755,1703.0,1114.0,0.0
10000.0,0.1705,0.2961,0.05273,1.0,0.6763,1578.0,896.5,0.0
10000.0,0.3665,0.6494,0.2869,0.999,0.7427,362.2,1495.0,0.0
10.14,0.5034,0.1908,0.6553,0.9995,-0.472,826.5,1768.0,0.0
10000.0,0.6895,0.1469,0.1175,0.9995,-0.0882,1200.0,295.5,0.0
10000.0,0.0373,0.8545,0.11755,0.9995,0.3193,39.97,1753.0,0.0
10000.0,0.5684,0.5425,0.1699,0.999,0.958,1143.0,645.5,0.0
10000.0,0.4539,0.2898,0.1575,0.9995,-0.4055,725.5,1820.0,0.0
61.56,0.05502,0.1676,0.3123,0.9995,0.8003,1639.0,226.4,0.0
10000.0,0.859,0.644,0.259,0.9995,-0.4263,1342.0,1684.0,0.0
31.69,0.778,0.683,0.6553,0.9995,-0.998,1768.0,1174.0,0.0
8.484,0.7266,0.4583,0.9224,0.9995,-0.10754,469.5,359.5,0.0
28.58,0.36,0.7314,0.5405,0.999,0.4143,1373.0,1337.0,0.0
41.25,0.7046,0.542,0.5493,0.9995,0.8906,164.9,1709.0,0.0
10000.0,0.745,0.6455,0.2642,0.9995,0.413,1371.0,311.0,0.0
1.261,0.06744,0.2158,0.6606,1.0,0.02235,308.8,762.0,0.0
23.77,0.684,0.851,0.778,0.9995,-0.02695,441.2,392.0,0.0
10000.0,0.974,0.7393,0.03427,0.999,-0.667,1287.0,1509.0,0.0
14.055,0.604,0.5557,0.848,1.0,0.637,1053.0,1485.0,0.0
11.91,0.2861,0.787,0.7554,0.999,0.4348,30.67,1100.0,0.0
10000.0,0.7393,0.1265,0.1836,0.9995,-0.672,623.0,956.0,0.0
10000.0,0.5737,0.2961,0.1936,0.9995,-0.1648,891.5,81.0,0.0
3.805,0.2517,0.2328,0.7085,0.999,-0.573,835.5,862.5,0.0
38.78,0.4924,0.708,0.534,0.9995,0.978,689.0,427.5,0.0
10000.0,0.4524,0.8726,0.1453,1.0,0.8823,589.5,1713.0,0.0
10000.0,0.982,0.3262,0.04242,0.9995,-0.211,229.5,1542.0,0.0
1.244,0.0625,0.6694,0.68,0.999,-0.2737,612.0,987.5,0.0
10000.0,0.866,0.5522,0.0531,0.9995,0.12274,51.38,1147.0,0.0
43.62,0.851,0.4114,0.4963,0.9995,-0.565,1694.0,616.5,0.0
16.39,0.3887,0.4873,0.718,1.0,0.88,1051.0,1869.0,0.0
7.758,0.4377,0.3486,0.739,1.0,-0.8857,85.0,904.5,0.0
7.383,0.0987,0.9414,0.6787,1.0,0.5654,730.5,593.0,0.0
81.06,0.751,0.2893,0.3572,0.9995,0.4333,365.8,547.0,0.0
12.35,0.1913,0.524,0.5327,0.999,-0.6934,1643.0,744.0,0.0
10000.0,0.759,0.6035,0.0751,1.0,-0.07056,346.0,1403.0,0.0
10000.0,0.6147,0.10876,0.1711,0.999,-0.4285,1213.0,658.0,0.0
1.629,0.03333,0.3936,0.4514,0.999,-0.95,960.0,894.0,0.0
10000.0,0.0163,0.606,0.1181,0.9995,-0.908,603.0,1424.0,0.0
13.516,0.3167,0.2595,0.632,0.9995,0.53,136.2,479.8,0.0
10000.0,0.9424,0.3433,0.1323,0.999,0.454,1211.0,1574.0,1.0
0.5415,0.04007,0.2693,0.7896,0.999,-0.6367,1140.0,1024.0,2.0
10000.0,0.3242,0.1322,0.1392,1.0,-0.266,625.0,316.8,3.0
23.16,0.3765,0.5986,0.5537,0.9995,-0.1533,704.5,1423.0,4.0
13.97,0.3215,0.6084,0.679,0.9995,0.2783,1330.0,1018.0,5.0
27.5,0.864,0.888,0.8086,0.999,-0.5596,1656.0,651.5,6.0
14.86,0.6724,0.1785,0.724,0.999,0.4167,962.0,894.0,7.0
0.12213,0.2003,0.3298,0.972,0.9995,-0.4868,972.0,120.56,8.0
14.97,0.6133,0.621,0.7983,0.9995,-0.2827,1250.0,778.0,9.0
8.5,0.456,0.2703,0.7686,0.9995,0.02039,967.0,811.0,10.0
8.93,0.4277,0.441,0.817,0.9995,0.1963,954.5,1156.0,11.0
54.78,0.3235,0.992,0.4263,1.0,0.817,623.5,1450.0,12.0
7.035,0.1946,0.5693,0.6445,0.9995,-0.6274,620.5,514.5,13.0
12.59,0.3345,0.528,0.647,0.9995,-0.39,594.0,890.0,14.0
0.4023,0.2622,0.1462,0.9297,0.9995,-0.9736,833.0,563.0,15.0
10000.0,0.34,0.2262,0.04657,0.9995,-0.2452,276.5,641.5,1.0
46.12,0.838,0.8193,0.6147,0.9995,-0.1266,1117.0,901.0,2.0
62.3,0.569,0.13,0.3652,1.0,-0.1498,1798.0,1941.0,3.0
